name,mean,inter
Age,0.653842905405406,0.34121621621621634
Gender,0.5453465965965966,1.0
Height,0.3945286810980424,0.0011715426254140238
ICUType,0.5829166666666653,0.6666666666666667
Weight,0.2345892874439108,0.12794268167860795
max_ALP,0.04101132055995169,0.011849315991085043
max_ALT,0.018456164324477112,0.016234750746498293
max_AST,0.01700634588941989,0.014794109133014908
max_Albumin,0.4952214802011411,0.0
max_BUN,0.13795174394264514,0.10824742268041238
max_Bilirubin,0.046643201002373985,0.03156912989411011
max_Cholesterol,0.35570656923673605,0.0
max_Creatinine,0.06512393470870381,0.037314301681181015
max_DiasABP,0.3075877188601968,0.03824626865671643
max_FiO2,0.7640983712281098,0.2374530491664908
max_GCS,0.8784139460535237,0.16666666666666674
max_Glucose,0.10354287372330548,0.060584958217270196
max_HCO3,0.35577590711759155,0.13157894736842102
max_HCT,0.2968001838344301,0.1584415584415585
max_HR,0.2216524227181065,0.1120331950207468
max_K,0.10191961335095873,0.034313725490196095
max_Lactate,0.09313191094838205,0.034506872986176086
max_MAP,0.38719016200321393,0.054434541203974285
max_Mg,0.1328970882134227,0.04545454545454544
max_NIDiasABP,0.4414517063492051,0.12222222222222223
max_NIMAP,0.49228818420001264,0.10508388408744279
max_NISysABP,0.5261959746335777,0.1058394160583942
max_Na,0.37540948825090154,0.0862068965517242
max_PaCO2,0.3768296672973812,0.09523809523809523
max_PaO2,0.4753799337049784,0.3022151898734177
max_Platelets,0.20420573173403472,0.11372549019607842
max_RespRate,0.15942821277219585,0.0
max_SaO2,0.9137423270089342,0.009529532967033294
max_SysABP,0.5297970971098153,0.06779661016949157
max_Temp,0.35383477954971787,0.13846153846153797
max_TroponinI,0.1780323831804411,0.0
max_TroponinT,0.05069492941632185,0.0
max_Urine,0.11473402295963822,0.07692307692307691
max_WBC,0.09530885631182351,0.04887459807073953
max_pH,0.004634117519391057,0.0014852877864970637
